1;00:00:00,000 --> 00:00:01,150;Queremos agradecer
2;00:00:01,150 --> 00:00:05,530;a todos os nossos colaboradores, amigos e parceiros
3;00:00:05,530 --> 00:00:10,030;que fizeram de 2020 um ano de muito aprendizado.
4;00:00:10,030 --> 00:00:12,400;Nossa forma de viver mudou.
5;00:00:12,400 --> 00:00:18,810;Mas sabemos que isso são detalhes perto da esperança em um amanhã melhor.
6;00:00:18,810 --> 00:00:23,560;É com muita garra que iremos iniciar um novo ano.
7;00:00:23,560 --> 00:00:27,470;Com mais alegrias e sucesso para todos.
;;
;;
;;
