1;00:00:00,000 --> 00:00:02,090;Para todo trabalho,
2;00:00:02,090 --> 00:00:05,180;existe um profissional capaz de realizá-lo
3;00:00:05,180 --> 00:00:07,880;com dedicação e responsabilidade.
4;00:00:07,880 --> 00:00:10,850;A TMF une a sua necessidade
5;00:00:10,850 --> 00:00:13,970;aos melhores profissionais do mercado. 
6;00:00:13,970 --> 00:00:16,930;Com experiência em diversos setores,
7;00:00:16,930 --> 00:00:20,620;nossa missão é fortalecer a sua empresa
8;00:00:20,620 --> 00:00:23,700;com a nossa mão de obra especializada.
9;00:00:23,700 --> 00:00:26,860;TMF, conectando pessoas.
;;
;;
;;
;;
